GO,P,FDR,p.L,p.G,g,G,nc,mc,GO.def,child.GOs
GO:0007165,0.005517504,0.08788561,0,1,48,364,104,13823,"The cellular process in which a signal is conveyed to trigger a change in the activity or state of a cell. Signal transduction begins with reception of a signal (e.g. a ligand binding to a receptor or receptor activation by a stimulus such as light), or for signal transduction in the absence of ligand, signal-withdrawal or the activity of a constitutively active receptor. Signal transduction ends with regulation of a downstream cellular process, e.g. regulation of transcription or regulation of a metabolic process. Signal transduction covers signaling from receptors located on the surface of the cell and signaling via molecules located within the cell. For signaling between cells, signal transduction is restricted to events at and within the receiving cell.","GO:0035556,GO:0007186,GO:0007264"
GO:0031072,0.001103087,0.022893054,0,1,23,141,46,4648,"Interacting selectively and non-covalently with a heat shock protein, any protein synthesized or activated in response to heat shock.",
GO:0051536,2.42E-06,0.000246527,0,1,15,76,41,3000,"Interacting selectively and non-covalently with an iron-sulfur cluster, a combination of iron and sulfur atoms.",GO:0051537
GO:0016760,0.00027874,0.009037606,0.00819,0.99878,9,39,18,1111,"Catalysis of the reaction: UDP-glucose + ((1,4)-beta-D-glucosyl)(n) = UDP + ((1,4)-beta-D-glucosyl)(n+1).",
GO:0030244,0.001105624,0.022893054,0.00116,0.99987,9,48,18,1432,"The chemical reactions and pathways resulting in the formation of cellulose, a linear beta1-4 glucan of molecular mass 50-400 kDa with the pyranose units in the -4C1 conformation.",
GO:0009378,1.92E-07,3.10E-05,0,1,10,58,30,1951,"Catalysis of the unwinding of the DNA helix of DNA containing four-way junctions, including Holliday junctions.",
GO:0006281,0.000138408,0.005431461,0,1,30,190,64,6521,"The process of restoring DNA after damage. Genomes are subject to damage by chemical and physical agents in the environment (e.g. UV and ionizing radiations, chemical mutagens, fungal and bacterial toxins, etc.) and by free radicals or alkylating agents endogenously generated in metabolism. DNA is also damaged because of errors during its replication. A variety of different DNA repair pathways have been reported that include direct reversal, base excision repair, nucleotide excision repair, photoreactivation, bypass, double-strand break repair pathway, and mismatch repair pathway.",
GO:0006310,3.61E-05,0.001870739,0,1,16,86,37,2929,"Any process in which a new genotype is formed by reassortment of genes resulting in gene combinations different from those that were present in the parents. In eukaryotes genetic recombination can occur by chromosome assortment, intrachromosomal recombination, or nonreciprocal interchromosomal recombination. Intrachromosomal recombination occurs by crossing over. In bacteria it may occur by genetic transformation, conjugation, transduction, or F-duction.",
GO:0006260,5.77E-06,0.000393002,0,1,12,81,41,3125,"The cellular metabolic process in which a cell duplicates one or more molecules of DNA. DNA replication begins when specific sequences, known as origins of replication, are recognized and bound by initiation proteins, and ends when the original DNA molecule has been completely duplicated and the copies topologically separated. The unit of replication usually corresponds to the genome of the cell, an organelle, or a virus. The template for replication can either be an existing DNA molecule or RNA.",
GO:0006541,0.005427889,0.08788561,0,1,3,25,12,878,"The chemical reactions and pathways involving glutamine, 2-amino-4-carbamoylbutanoic acid.",
GO:0007264,0.000172805,0.006216177,0,1,20,129,47,4396,Any series of molecular signals in which a small monomeric GTPase relays one or more of the signals.,
GO:0006520,0.006505575,0.099114345,0,1,38,230,69,8361,"The chemical reactions and pathways involving amino acids, carboxylic acids containing one or more amino groups, as carried out by individual cells.",GO:0006541
GO:0015299,0.00131607,0.026220162,0,1,4,40,19,1585,Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: solute(out) + H+(in) = solute(in) + H+(out).,
GO:0006259,1.62E-05,0.000954397,0,1,41,287,98,10534,"Any cellular metabolic process involving deoxyribonucleic acid. This is one of the two main types of nucleic acid, consisting of a long, unbranched macromolecule formed from one, or more commonly, two, strands of linked deoxyribonucleotides.","GO:0006260,GO:0006281,GO:0006310"
GO:0006974,6.71E-05,0.002995378,0,1,30,190,64,6551,"Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating damage to its DNA from environmental insults or errors during metabolism.",GO:0006281
GO:0035556,3.32E-06,0.000287029,0,1,34,223,79,7792,"The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell.",GO:0007264
GO:0003913,0.003662533,0.064094336,0.00722,0.99992,2,10,7,312,Catalysis of the repair of a photoproduct resulting from ultraviolet irradiation of two adjacent pyrimidine residues in DNA.,
GO:0000045,0.00084355,0.018753955,0.01578,0.99952,3,11,8,314,"The formation of a double membrane-bounded structure, the autophagosome, that occurs when a specialized membrane sac, called the isolation membrane, starts to enclose a portion of the cytoplasm.",
GO:0007186,0.000624098,0.014809392,0,1,9,50,23,1789,"A series of molecular signals that proceeds with an activated receptor promoting the exchange of GDP for GTP on the alpha-subunit of an associated heterotrimeric G-protein complex. The GTP-bound activated alpha-G-protein then dissociates from the beta- and gamma-subunits to further transmit the signal within the cell. The pathway begins with receptor-ligand interaction, or for basal GPCR signaling the pathway begins with the receptor activating its G protein in the absence of an agonist, and ends with regulation of a downstream cellular process, e.g. transcription.  The pathway can start from the plasma membrane, Golgi or nuclear membrane (PMID:24568158 and PMID:16902576).",
GO:0005488,2.53E-05,0.00136586,0,1,314,796,712,114578,"The selective, non-covalent, often stoichiometric, interaction of a molecule with one or more specific sites on another molecule.","GO:0030246,GO:0031072,GO:0035091,GO:0051536,GO:0051537"
GO:0035091,0.001902755,0.035711128,0.00029,1,2,13,9,439,"Interacting selectively and non-covalently with any inositol-containing glycerophospholipid, i.e. phosphatidylinositol (PtdIns) and its phosphorylated derivatives.",
GO:0007154,6.51E-09,2.81E-06,0,1,61,422,149,16281,"Any process that mediates interactions between a cell and its surroundings. Encompasses interactions such as signaling or attachment between one cell and another cell, between a cell and an extracellular matrix, or between a cell and any other aspect of its environment.","GO:0007165,GO:0035556,GO:0007186,GO:0007264,GO:0048544"
GO:0003678,0.000326363,0.009392002,0,1,12,76,32,2657,"Catalysis of the reaction: NTP + H2O = NDP + phosphate, to drive the unwinding of a DNA helix.",GO:0009378
GO:0001510,6.12E-05,0.002831679,0.00302,0.99994,4,16,11,437,Posttranscriptional addition of a methyl group to either a nucleotide or 2'-O ribose in a polyribonucleotide. Usually uses S-adenosylmethionine as a cofactor.,
GO:0006950,5.14E-05,0.002466405,0,1,53,437,127,15585,"Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a disturbance in organismal or cellular homeostasis, usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation).","GO:0006281,GO:0006974"
GO:0016765,6.71E-08,1.45E-05,0,1,7,59,31,1643,Catalysis of the transfer of an alkyl or aryl (but not methyl) group from one compound (donor) to another (acceptor).,GO:0004659
GO:0009103,0.005564958,0.08788561,0,1,4,43,16,1349,"The chemical reactions and pathways resulting in the formation of lipopolysaccharides, any of a group of related, structurally complex components of the outer membrane of Gram-negative bacteria.",
GO:0033014,0.001044099,0.022535146,0.00015,0.99998,8,41,21,1632,"The chemical reactions and pathways leading to the formation of tetrapyrroles, natural pigments containing four pyrrole rings joined by one-carbon units linking position 2 of one pyrrole ring to position 5 of the next.",GO:0006779
GO:0004866,0.003260292,0.058639983,0,1,4,36,17,1286,"Stops, prevents or reduces the activity of an endopeptidase, any enzyme that hydrolyzes nonterminal peptide bonds in polypeptides.",GO:0004867
GO:0005247,0.00055824,0.013902319,0.00029,1,2,11,9,408,Enables the transmembrane transfer of a chloride ion by a voltage-gated channel. A voltage-gated channel is a channel whose open state is dependent on the voltage across the membrane in which it is embedded.,
GO:0006821,0.001113716,0.022893054,0.00023,1,2,11,9,408,"The directed movement of chloride into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.",
GO:0019205,0.000640406,0.014809392,0,1,5,30,17,1098,"Catalysis of the transfer of a phosphate group, usually from ATP or GTP, to a nucleobase, nucleoside, nucleotide or polynucleotide substrate.",
GO:0032259,4.76E-05,0.0023704,0,1,11,65,32,2518,The process in which a methyl group is covalently attached to a molecule.,GO:0001510
GO:0006779,2.18E-05,0.001225196,0.00291,0.99974,7,27,20,1099,The chemical reactions and pathways resulting in the formation of any member of a large group of derivatives or analogs of porphyrin. Porphyrin consists of a ring of four pyrrole nuclei linked each to the next at their alpha positions through a methine group.,
GO:0004867,0.001602592,0.031444807,6.00E-05,1,2,14,9,430,"Stops, prevents or reduces the activity of serine-type endopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain; a serine residue (and a histidine residue) are at the active center of the enzyme.",
GO:0006914,0.001756432,0.033948945,0.00729,0.99985,3,14,8,370,The process in which cells digest parts of their own cytoplasm; allows for both recycling of macromolecular constituents under conditions of cellular stress and remodeling the intracellular structure for cell differentiation.,GO:0000045
GO:0004659,4.31E-07,6.20E-05,0,1,3,21,19,753,Catalysis of the transfer of a prenyl group from one compound (donor) to another (acceptor).,
GO:0005337,8.78E-06,0.000568586,0.00012,1,2,10,9,207,"Enables the transfer of a nucleoside, a nucleobase linked to either beta-D-ribofuranose (ribonucleoside) or 2-deoxy-beta-D-ribofuranose, (a deoxyribonucleotide) from one side of a membrane to the other.",
GO:0009987,0.000114384,0.004778304,0,1,292,1031,635,104787,"Any process that is carried out at the cellular level, but not necessarily restricted to a single cell. For example, cell communication occurs among more than one cell, but occurs at the cellular level.","GO:0000045,GO:0006260,GO:0000154,GO:0001510,GO:0007165,GO:0035556,GO:0006259,GO:0006281,GO:0006310,GO:0006520,GO:0006541,GO:0006779,GO:0006914,GO:0006974,GO:0007154,GO:0007186,GO:0007264,GO:0009103,GO:0009247,GO:0030244,GO:0030259,GO:0033014,GO:0044237,GO:0048544"
GO:0004356,0.002009844,0.03718212,0.00024,1,2,13,9,445,Catalysis of the reaction: L-glutamate + ATP + NH(4)(+) = L-glutamine + ADP + 2 H(+) + phosphate.,
GO:0000154,0.000289761,0.009037606,0.00428,0.9999,3,13,9,376,The covalent alteration of one or more nucleotides within an rRNA molecule to produce an rRNA molecule with a sequence that differs from that coded genetically.,
GO:0009247,0.003616231,0.064094336,0,1,4,26,14,988,"The chemical reactions and pathways resulting in the formation of glycolipid, a class of 1,2-di-O-acylglycerols joined at oxygen 3 by a glycosidic linkage to a carbohydrate part (usually a mono-, di- or tri-saccharide).",
